Date,Open,High,Low,Close,Adj Close,Volume
2012-05-25,7.706,7.706,7.706,7.706,3.684889,0
2012-05-29,7.802,7.809,7.802,7.809,3.734142,0
2012-05-30,7.95,7.95,7.782,7.782,3.721231,10
2012-05-31,7.688,7.688,7.688,7.688,3.676281,0
2012-06-01,7.526,7.526,7.459,7.459,3.566777,300
2012-06-04,7.328,7.328,7.328,7.328,3.504135,0
2012-06-05,7.514,7.514,7.514,7.514,3.593077,0
2012-06-06,7.317,7.317,7.317,7.317,3.498875,0
2012-06-08,7.502,7.569,7.502,7.569,3.619378,0
2012-06-11,7.701,7.701,7.701,7.701,3.682498,0
2012-06-12,7.671,7.671,7.671,7.671,3.668153,0
2012-06-13,7.935,7.935,7.935,7.935,3.794393,0
2012-06-14,7.978,7.978,7.978,7.978,3.814956,0
2012-06-15,8.089,8.089,8.089,8.089,3.868033,0
2012-06-18,8.337,8.337,8.337,8.337,4.894186,0
2012-06-19,8.223,8.223,8.223,8.223,4.827263,0
2012-06-20,8.587,8.824,8.587,8.824,5.180077,370
2012-06-21,8.634,8.634,8.616,8.616,5.057972,350
2012-06-22,8.404,8.457,8.404,8.441,4.955239,1250
2012-06-25,8.402,8.402,8.402,8.402,4.932345,0
2012-06-26,8.344,8.344,8.344,8.344,4.898296,0
2012-06-27,8.583,8.583,8.583,8.583,5.0386,0
2012-06-28,8.471,8.471,8.471,8.471,4.97285,0
2012-06-29,8.564,8.564,8.564,8.564,5.027446,0
2012-07-02,8.828,8.828,8.828,8.828,5.182425,0
2012-07-03,8.929,8.929,8.929,8.929,5.241716,0
2012-07-04,8.902,8.902,8.902,8.902,5.225867,0
2012-07-05,9.092,9.092,9.092,9.092,5.337405,0
2012-07-06,9.057,9.057,9.057,9.057,5.316859,0
2012-07-09,8.93,8.93,8.93,8.93,5.242304,0
2012-07-10,9.012,9.012,9.012,9.012,5.290442,0
2012-07-11,9.107,9.107,9.107,9.107,5.346211,0
2012-07-12,8.986,8.986,8.986,8.986,5.275178,0
2012-07-13,8.773,8.773,8.773,8.773,5.150138,0
2012-07-16,8.816,8.816,8.816,8.816,5.175381,0
2012-07-17,9.042,9.042,9.042,9.042,5.308053,0
2012-07-18,8.943,8.943,8.943,8.943,5.249935,0
2012-07-19,8.928,8.928,8.928,8.928,5.24113,0
2012-07-20,8.927,8.927,8.927,8.927,5.240542,0
2012-07-23,8.797,8.797,8.797,8.797,5.164227,0
2012-07-24,8.412,8.412,8.412,8.412,4.938215,0
2012-07-25,8.478,8.629,8.478,8.629,5.065603,150
2012-07-26,8.537,8.537,8.537,8.537,5.011595,0
2012-07-27,8.682,8.682,8.682,8.682,5.096717,0
2012-07-30,8.743,8.743,8.743,8.743,5.132527,0
2012-07-31,8.779,8.779,8.779,8.779,5.15366,0
2012-08-01,8.8,8.8,8.8,8.8,5.165988,0
2012-08-02,8.844,8.844,8.844,8.844,5.191818,0
2012-08-03,8.907,8.907,8.907,8.907,5.228802,0
2012-08-06,9.144,9.144,9.144,9.144,5.367931,0
2012-08-07,9.297,9.297,9.297,9.297,5.457749,0
2012-08-08,9.328,9.328,9.328,9.328,5.475948,0
2012-08-09,9.337,9.337,9.337,9.337,5.481231,0
2012-08-10,9.699,9.699,9.699,9.699,5.693741,0
2012-08-13,9.587,9.587,9.587,9.587,5.627992,0
2012-08-14,9.579,9.579,9.579,9.579,5.623296,0
2012-08-15,9.544,9.544,9.544,9.544,5.602749,0
2012-08-16,9.557,9.557,9.557,9.557,5.610381,0
2012-08-17,9.577,9.577,9.577,9.577,5.622121,0
2012-08-20,9.223,9.223,9.223,9.223,5.414308,0
2012-08-21,9.202,9.202,9.202,9.202,5.401979,0
2012-08-22,9.166,9.166,9.166,9.166,5.380847,0
2012-08-23,8.975,8.975,8.975,8.975,5.268721,0
2012-08-24,9.047,9.047,9.047,9.047,5.310988,0
2012-08-27,9.221,9.221,9.221,9.221,5.413133,0
2012-08-28,9.182,9.182,9.182,9.182,5.390239,0
