Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI
8.471,8.471,0.0,8.471,8.471,1.0,21.0,0.13945703,43.57233,-1540.0,58.435093
9.092,9.092,0.0,9.092,9.092,0.0,26.0,0.2016508,124.93189,-1540.0,91.50957
8.986,8.986,0.0,8.986,8.986,0.0,31.0,0.20133945,45.81469,-1540.0,59.39592
9.337,9.337,0.0,9.337,9.337,1.0,51.0,0.12940782,104.0078,-1390.0,100.0
9.579,9.579,0.0,9.579,9.579,0.0,54.0,0.19931194,85.50776,-1390.0,75.103775
9.557,9.557,0.0,9.557,9.557,1.0,56.0,0.20582737,63.434387,-1390.0,23.214863
9.166,9.166,0.0,9.166,9.166,0.0,60.0,0.12811199,-59.121326,-1390.0,0.0
9.221,9.221,0.0,9.221,9.221,0.0,63.0,0.06479641,-40.481674,-1390.0,56.292843
9.18,9.18,0.0,9.18,9.18,1.0,67.0,0.04463409,-33.41834,-1390.0,49.62409
9.474,9.474,0.0,9.474,9.474,1.0,70.0,0.07334101,87.79354,-1390.0,95.37027
10.876,10.876,0.0,10.876,10.876,0.0,80.0,0.40876138,74.310776,-1390.0,65.91892
11.165,11.165,0.0,11.165,11.165,1.0,135.0,0.14873213,-0.10996732,-4455.0,66.594864
12.105,12.105,0.0,12.105,12.105,1.0,142.0,0.2900286,105.64619,-4455.0,79.18922
12.981,12.981,25.0,12.7,12.7,0.0,144.0,0.38539872,126.37889,-4430.0,100.0
12.05,12.05,0.0,12.05,12.05,1.0,161.0,0.07477234,-9.25458,-4130.0,85.40987
11.611,11.611,0.0,11.611,11.611,0.0,173.0,-0.041170742,-118.42533,-3270.0,23.947317
11.434,11.434,0.0,11.434,11.434,1.0,175.0,-0.0968427,-106.232735,-3270.0,1.3985034
11.703,11.703,0.0,11.703,11.703,1.0,176.0,-0.09423279,-41.50279,-3270.0,60.13217
12.24,12.24,0.0,12.24,12.24,0.0,179.0,-0.033417467,112.74103,-3270.0,100.0
12.79,12.79,0.0,12.79,12.79,0.0,204.0,0.16481638,-120.86741,-1650.0,18.987318
11.672,11.672,0.0,11.672,11.672,1.0,212.0,-0.18597408,-110.71449,-1620.0,0.0
11.909,11.909,0.0,11.909,11.909,1.0,213.0,-0.20320342,-69.7238,-1620.0,33.333378
11.704,11.704,0.0,11.704,11.704,0.0,230.0,-0.17432849,-32.82864,-450.0,25.081467
11.663,11.663,0.0,11.663,11.663,0.0,236.0,-0.20006864,38.429214,-306.0,100.0
11.489,11.489,0.0,11.489,11.489,1.0,238.0,-0.17179133,-15.813499,-306.0,58.767815
12.115,12.115,0.0,12.115,12.115,1.0,248.0,0.053958833,60.62164,-306.0,67.57984
10.672,10.672,750.0,10.635,10.635,1.0,303.0,-0.10557686,43.650784,-871.0,60.56754
10.23,10.23,0.0,10.23,10.23,0.0,326.0,-0.15461928,-1.3781806,1793.0,88.99174
10.13,10.13,0.0,10.13,10.13,0.0,328.0,-0.12983835,-3.381196,1793.0,55.5557
10.098,10.098,0.0,10.098,10.098,1.0,330.0,-0.120209605,-1.17979,1793.0,12.138652
10.333,10.333,0.0,10.333,10.333,1.0,332.0,-0.08179965,62.30573,1793.0,100.0
10.236,10.236,0.0,10.236,10.236,1.0,345.0,-0.0071597295,-85.526695,2053.0,35.34946
10.811,10.811,0.0,10.811,10.811,0.0,351.0,0.08007361,121.41405,2353.0,91.19498
10.535,10.535,0.0,10.535,10.535,1.0,353.0,0.077143066,14.705806,2103.0,34.441727
10.994,10.994,0.0,10.994,10.994,0.0,379.0,0.07967928,93.6713,548.0,69.218735
11.08,11.08,0.0,11.08,11.08,0.0,384.0,0.14908385,54.113956,643.0,61.199482
9.152,9.152,0.0,9.152,9.152,0.0,420.0,-0.23980273,-103.856476,1453.0,3.5432553
9.09,9.09,0.0,9.09,9.09,1.0,424.0,-0.279525,-61.689705,1153.0,100.0
9.893,9.893,0.0,9.893,9.893,1.0,462.0,0.019443998,84.386086,1598.0,76.429726
10.306,10.306,0.0,10.306,10.306,0.0,474.0,0.14418873,35.95893,1948.0,58.60111
10.011,10.011,0.0,10.011,10.011,1.0,476.0,0.09490269,-90.63334,1948.0,0.0
10.011,10.096,0.0,10.011,10.096,1.0,477.0,0.081348866,-75.04,1948.0,22.368423
9.935,9.935,0.0,9.935,9.935,1.0,505.0,-0.018010575,-131.94312,2148.0,0.0
8.93,8.93,0.0,8.93,8.93,1.0,556.0,-0.25686425,-12.669114,5760.0,65.364555
9.566,9.566,0.0,9.566,9.566,1.0,598.0,0.020399775,-46.712402,13960.0,46.058083
