Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI
8.583,8.583,0.0,8.583,8.583,0.0,20.0,0.1428062,70.22051,-1540.0,71.13095
8.902,8.902,0.0,8.902,8.902,1.0,25.0,0.18407641,96.88768,-1540.0,93.112366
9.092,9.092,0.0,9.092,9.092,0.0,26.0,0.2016508,124.93189,-1540.0,91.50957
9.107,9.107,0.0,9.107,9.107,0.0,30.0,0.20939665,82.11697,-1540.0,58.223717
8.773,8.773,0.0,8.773,8.773,1.0,32.0,0.17788865,-14.703465,-1540.0,22.14454
8.943,8.943,0.0,8.943,8.943,0.0,35.0,0.15190634,7.1840653,-1540.0,73.09783
8.537,8.537,0.0,8.537,8.537,1.0,41.0,0.031047313,-99.12691,-1390.0,31.268002
8.682,8.682,0.0,8.682,8.682,1.0,42.0,0.02404724,-45.692215,-1390.0,79.7357
9.699,9.699,0.0,9.699,9.699,0.0,52.0,0.16757031,137.44931,-1390.0,100.0
9.557,9.557,0.0,9.557,9.557,1.0,56.0,0.20582737,63.434387,-1390.0,23.214863
9.18,9.18,0.0,9.18,9.18,1.0,67.0,0.04463409,-33.41834,-1390.0,49.62409
9.827,9.827,0.0,9.827,9.827,1.0,72.0,0.111557096,162.33327,-1390.0,95.92382
10.331,10.331,0.0,10.331,10.331,1.0,73.0,0.17044322,181.57578,-1390.0,100.0
11.137,11.137,0.0,11.137,11.137,0.0,93.0,0.31594563,70.15536,-1390.0,51.908432
10.93,10.93,0.0,10.93,10.93,0.0,100.0,0.19694316,-79.128494,-1390.0,55.677704
10.081,10.081,0.0,10.081,10.081,1.0,112.0,-0.08298111,-59.52072,-4315.0,9.881299
11.145,11.145,0.0,11.145,11.145,1.0,123.0,0.09863537,120.27878,-4315.0,89.07226
11.053,11.053,0.0,11.053,11.053,1.0,126.0,0.17093071,58.907078,-4295.0,33.211628
11.385,11.385,0.0,11.385,11.385,1.0,129.0,0.20750706,78.64336,-4295.0,100.0
11.351,11.351,0.0,11.351,11.351,1.0,137.0,0.15464261,60.215084,-4455.0,100.0
11.889,11.889,0.0,11.889,11.889,0.0,139.0,0.22776595,132.69171,-4455.0,100.0
12.873,13.075,200.0,12.873,13.075,1.0,186.0,0.18579304,123.493515,-3070.0,86.68833
12.797,12.797,0.0,12.797,12.797,1.0,190.0,0.21923032,54.690575,-3070.0,30.219135
11.683,11.683,0.0,11.683,11.683,1.0,240.0,-0.13837326,38.131966,-306.0,62.179394
12.249,12.249,0.0,12.249,12.249,0.0,253.0,0.1344977,17.833836,-306.0,0.0
12.438,12.438,0.0,12.438,12.438,0.0,259.0,0.120610714,41.612286,-306.0,56.49865
10.411,10.411,0.0,10.411,10.411,0.0,271.0,-0.38451013,-88.63106,-910.0,29.032225
10.095,10.095,0.0,10.095,10.095,0.0,294.0,-0.204493,-120.24289,-145.0,11.240308
10.453,10.453,9.0,10.453,10.453,1.0,298.0,-0.24907371,-23.744967,-136.0,81.58781
10.334,10.334,0.0,10.334,10.334,1.0,319.0,-0.052596778,-65.12181,1204.0,54.452045
9.964,9.964,0.0,9.964,9.964,0.0,321.0,-0.09629048,-131.02527,1390.0,3.913097
10.23,10.23,0.0,10.23,10.23,0.0,326.0,-0.15461928,-1.3781806,1793.0,88.99174
10.229,10.229,0.0,10.229,10.229,0.0,327.0,-0.13752638,4.8990855,1793.0,53.648113
10.5,10.5,0.0,10.5,10.5,1.0,334.0,-0.031007739,88.46984,1793.0,100.0
10.5,10.5,0.0,10.5,10.5,1.0,337.0,0.019975794,72.832436,1793.0,50.0
10.608,10.608,0.0,10.608,10.608,1.0,359.0,0.08143758,-35.2426,2103.0,26.550789
10.663,10.663,0.0,10.663,10.663,0.0,361.0,0.070450366,-32.300396,2103.0,72.38102
10.936,10.936,0.0,10.936,10.936,0.0,375.0,0.027193896,132.20647,503.0,100.0
10.551,10.551,0.0,10.551,10.551,1.0,377.0,0.03286447,11.9625845,503.0,2.0354776
10.994,10.994,0.0,10.994,10.994,0.0,379.0,0.07967928,93.6713,548.0,69.218735
9.738,9.738,0.0,9.738,9.738,0.0,400.0,-0.21554276,-86.19929,1328.0,43.24943
10.13,10.13,0.0,10.13,10.13,0.0,404.0,-0.16654408,8.424844,1328.0,93.881805
9.855,9.855,0.0,9.855,9.855,1.0,407.0,-0.15605207,-31.956905,1328.0,0.0
10.183,10.183,0.0,10.183,10.183,0.0,409.0,-0.11085489,84.93138,2178.0,65.73417
10.094,10.094,0.0,10.094,10.094,1.0,411.0,-0.089884385,35.147087,2178.0,0.0
10.151,10.151,0.0,10.151,10.151,0.0,412.0,-0.078676075,49.93261,2178.0,39.04123
9.781,9.781,0.0,9.781,9.781,1.0,429.0,-0.12668295,131.0857,1673.0,100.0
10.326,10.38,200.0,10.326,10.38,1.0,438.0,0.09947939,110.4421,1873.0,86.68081
10.377,10.377,0.0,10.377,10.377,0.0,440.0,0.14768228,95.78704,2023.0,89.66854
10.525,10.525,0.0,10.525,10.525,0.0,472.0,0.15035832,109.17324,1948.0,76.0975
10.249,10.249,0.0,10.249,10.249,0.0,487.0,0.095167495,-30.848139,1948.0,0.0
10.258,10.258,0.0,10.258,10.258,1.0,491.0,0.028085254,-35.567696,2148.0,100.0
10.113,10.113,0.0,10.113,10.113,1.0,494.0,0.01581551,-77.618744,2148.0,29.344654
10.287,10.287,0.0,10.287,10.287,0.0,496.0,0.016639104,-8.804506,2148.0,41.956482
10.221,10.221,0.0,10.221,10.221,0.0,497.0,0.0111343665,-25.76279,2148.0,69.42443
9.971,9.971,0.0,9.971,9.971,0.0,506.0,-0.036150385,-98.13823,2148.0,9.809109
9.41,9.693,700.0,9.41,9.693,0.0,545.0,-0.017232545,-73.34045,5830.0,33.18727
8.964,8.964,0.0,8.964,8.964,0.0,548.0,-0.11138994,-154.03603,5760.0,0.0
8.684,8.684,0.0,8.684,8.684,0.0,554.0,-0.275482,-61.71389,5760.0,61.329266
9.171,9.171,0.0,9.171,9.171,0.0,564.0,-0.09156058,85.661705,5760.0,61.659927
10.223,10.223,1000.0,10.172,10.172,0.0,585.0,0.15674469,136.70474,13960.0,89.487854
9.696,9.696,0.0,9.696,9.696,0.0,596.0,0.03225672,-12.864062,13960.0,100.0
9.632,9.632,0.0,9.632,9.632,1.0,608.0,-0.00272211,-9.148838,13960.0,54.545544
10.889,10.889,0.0,10.889,10.889,1.0,640.0,0.25337154,-57.294373,14527.0,20.334265
11.367,11.367,0.0,11.367,11.367,1.0,657.0,0.18669763,8.538093,14654.0,24.23023
11.5,11.5,0.0,11.5,11.5,1.0,659.0,0.16647123,17.044127,14654.0,100.0
12.729,12.729,0.0,12.729,12.729,1.0,669.0,0.35852447,66.9342,15689.0,46.120716
12.86,12.86,0.0,12.86,12.86,0.0,673.0,0.36257628,61.441395,15689.0,49.87075
13.602,13.787,380.0,13.602,13.787,0.0,703.0,0.15826905,122.19615,17049.0,100.0
14.888,14.888,0.0,14.888,14.888,1.0,712.0,0.3829088,130.83684,17561.0,68.51144
