Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI
8.337,8.337,0.0,8.337,8.337,0.0,13.0,0.07394994,139.01875,-310.0,100.0
8.583,8.583,0.0,8.583,8.583,0.0,20.0,0.1428062,70.22051,-1540.0,71.13095
8.471,8.471,0.0,8.471,8.471,1.0,21.0,0.13945703,43.57233,-1540.0,58.435093
8.93,8.93,0.0,8.93,8.93,1.0,28.0,0.2061091,59.030437,-1540.0,53.977264
8.986,8.986,0.0,8.986,8.986,0.0,31.0,0.20133945,45.81469,-1540.0,59.39592
8.928,8.928,0.0,8.928,8.928,0.0,36.0,0.14217117,-16.340351,-1540.0,66.470695
8.412,8.412,0.0,8.412,8.412,1.0,39.0,0.071706906,-187.51842,-1540.0,0.0
8.537,8.537,0.0,8.537,8.537,1.0,41.0,0.031047313,-99.12691,-1390.0,31.268002
8.682,8.682,0.0,8.682,8.682,1.0,42.0,0.02404724,-45.692215,-1390.0,79.7357
10.921,10.921,0.0,10.921,10.921,0.0,79.0,0.39758018,90.374146,-1390.0,71.26434
10.417,10.417,0.0,10.417,10.417,0.0,82.0,0.36839145,11.068319,-1390.0,0.0
10.106,10.16,75.0,10.106,10.16,0.0,103.0,0.025765197,-140.08194,-4315.0,6.5462337
10.487,10.487,0.0,10.487,10.487,1.0,109.0,-0.07395139,-4.0722,-4315.0,92.87536
10.486,10.537,0.0,10.486,10.537,0.0,110.0,-0.058845192,8.740157,-4315.0,90.78951
9.909,9.909,0.0,9.909,9.909,1.0,115.0,-0.12349014,-109.213776,-4315.0,25.144499
11.145,11.145,0.0,11.145,11.145,1.0,123.0,0.09863537,120.27878,-4315.0,89.07226
11.184,11.184,0.0,11.184,11.184,1.0,128.0,0.18870689,58.345592,-4295.0,41.719715
11.011,11.011,0.0,11.011,11.011,0.0,132.0,0.19966294,-23.632437,-4455.0,24.93295
11.812,11.812,0.0,11.812,11.812,1.0,140.0,0.24410751,96.801254,-4455.0,87.47972
11.991,11.991,0.0,11.991,11.991,1.0,141.0,0.26704276,108.31568,-4455.0,73.07697
12.105,12.105,0.0,12.105,12.105,1.0,142.0,0.2900286,105.64619,-4455.0,79.18922
12.63,12.63,0.0,12.63,12.63,1.0,143.0,0.34312168,140.84157,-4455.0,100.0
12.274,12.274,0.0,12.274,12.274,1.0,164.0,0.09392053,79.96086,-4120.0,90.579704
11.43,11.43,0.0,11.43,11.43,1.0,174.0,-0.07314646,-130.79553,-3270.0,0.0
12.623,12.623,0.0,12.623,12.623,1.0,183.0,0.069462284,148.3407,-3270.0,86.907684
12.722,12.722,0.0,12.722,12.722,1.0,189.0,0.21597257,51.508812,-3070.0,29.404951
13.311,13.311,0.0,13.311,13.311,0.0,200.0,0.26858097,35.410572,-1960.0,60.707294
12.03,12.03,0.0,12.03,12.03,1.0,207.0,-0.022885242,-141.27591,-1685.0,0.0
11.607,11.607,0.0,11.607,11.607,0.0,237.0,-0.18051837,21.853474,-306.0,88.57147
12.192,12.192,0.0,12.192,12.192,1.0,254.0,0.1228326,-7.6293273,-306.0,0.0
12.532,12.532,0.0,12.532,12.532,0.0,258.0,0.117659986,77.247406,-306.0,62.463276
10.297,10.367,600.0,10.297,10.367,1.0,279.0,-0.3291486,-61.310677,-1510.0,13.341751
11.198,11.198,0.0,11.198,11.198,1.0,285.0,-0.13439035,82.89111,-145.0,94.41004
11.249,11.249,0.0,11.249,11.249,1.0,286.0,-0.10213336,88.062515,-145.0,86.86149
10.672,10.672,750.0,10.635,10.635,1.0,303.0,-0.10557686,43.650784,-871.0,60.56754
10.629,10.629,0.0,10.629,10.629,0.0,307.0,-0.062798195,39.640347,129.0,48.727276
10.394,10.394,0.0,10.394,10.394,0.0,309.0,-0.079547055,-28.569586,129.0,16.666666
