Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI
8.337,8.337,0.0,8.337,8.337,0.0,13.0,0.07394994,139.01875,-310.0,100.0
8.223,8.223,0.0,8.223,8.223,1.0,14.0,0.08548735,96.65555,-310.0,75.89845
8.587,8.824,370.0,8.587,8.824,0.0,15.0,0.12712103,148.12761,60.0,88.16198
8.634,8.634,350.0,8.616,8.616,0.0,16.0,0.14504555,105.22151,-290.0,65.113754
8.404,8.457,1250.0,8.404,8.441,0.0,17.0,0.14652483,67.58636,-1540.0,61.077244
8.402,8.402,0.0,8.402,8.402,0.0,18.0,0.14343652,54.92698,-1540.0,0.0
8.344,8.344,0.0,8.344,8.344,1.0,19.0,0.13570516,39.07378,-1540.0,0.0
8.471,8.471,0.0,8.471,8.471,1.0,21.0,0.13945703,43.57233,-1540.0,58.435093
8.564,8.564,0.0,8.564,8.564,1.0,22.0,0.14101775,54.995224,-1540.0,74.774734
8.828,8.828,0.0,8.828,8.828,1.0,23.0,0.1574003,106.4896,-1540.0,76.11935
8.929,8.929,0.0,8.929,8.929,0.0,24.0,0.17465937,113.93231,-1540.0,100.0
9.057,9.057,0.0,9.057,9.057,0.0,27.0,0.2104398,97.59585,-1540.0,75.39699
8.93,8.93,0.0,8.93,8.93,1.0,28.0,0.2061091,59.030437,-1540.0,53.977264
9.012,9.012,0.0,9.012,9.012,1.0,29.0,0.2057468,72.02796,-1540.0,33.606537
8.986,8.986,0.0,8.986,8.986,0.0,31.0,0.20133945,45.81469,-1540.0,59.39592
8.816,8.816,0.0,8.816,8.816,1.0,33.0,0.16044436,-14.760238,-1540.0,11.4058695
9.042,9.042,0.0,9.042,9.042,0.0,34.0,0.16065717,52.015152,-1540.0,55.809097
8.928,8.928,0.0,8.928,8.928,0.0,36.0,0.14217117,-16.340351,-1540.0,66.470695
8.927,8.927,0.0,8.927,8.927,0.0,37.0,0.13277434,-22.918066,-1540.0,0.0
8.797,8.797,0.0,8.797,8.797,0.0,38.0,0.11461592,-96.68359,-1540.0,0.0
8.412,8.412,0.0,8.412,8.412,1.0,39.0,0.071706906,-187.51842,-1540.0,0.0
8.478,8.629,150.0,8.478,8.629,0.0,40.0,0.052906804,-104.1572,-1390.0,29.644796
8.743,8.743,0.0,8.743,8.743,1.0,43.0,0.022686105,-20.570824,-1390.0,69.12755
8.779,8.779,0.0,8.779,8.779,1.0,44.0,0.023939647,-0.9875558,-1390.0,100.0
8.8,8.8,0.0,8.8,8.8,1.0,45.0,0.026135677,12.242032,-1390.0,100.0
8.844,8.844,0.0,8.844,8.844,1.0,46.0,0.030703625,27.137844,-1390.0,100.0
8.907,8.907,0.0,8.907,8.907,1.0,47.0,0.038442742,47.940586,-1390.0,100.0
9.144,9.144,0.0,9.144,9.144,1.0,48.0,0.061180897,125.24654,-1390.0,100.0
9.297,9.297,0.0,9.297,9.297,1.0,49.0,0.08923845,139.64502,-1390.0,100.0
9.328,9.328,0.0,9.328,9.328,1.0,50.0,0.11223416,120.94739,-1390.0,100.0
9.337,9.337,0.0,9.337,9.337,1.0,51.0,0.12940782,104.0078,-1390.0,100.0
9.587,9.587,0.0,9.587,9.587,0.0,53.0,0.1870416,100.714645,-1390.0,76.81153
9.579,9.579,0.0,9.579,9.579,0.0,54.0,0.19931194,85.50776,-1390.0,75.103775
9.544,9.544,0.0,9.544,9.544,1.0,55.0,0.2038516,70.08108,-1390.0,0.0
9.577,9.577,0.0,9.577,9.577,0.0,57.0,0.20629618,58.881718,-1390.0,48.528835
